episode,score0,46.0
1,4.0
2,4.0
3,3.0
4,18.0
5,6.0
6,14.0
7,1.0
8,42.0
9,5.0
10,7.0
11,1.0
12,11.0
13,23.0
14,2.0
15,14.0
16,10.0
17,16.0
18,13.0
19,7.0
20,0
21,9.0
22,19.0
23,28.0
24,5.0
25,16.0
26,3.0
27,41.0
28,28.0
29,8.0
30,1.0
31,17.0
32,62.0
33,36.0
34,2.0
35,2.0
36,1.0
37,7.0
38,30.0
39,10.0
40,2.0
41,11.0
42,27.0
43,7.0
44,8.0
45,13.0
46,2.0
47,23.0
48,34.0
49,5.0
50,21.0
51,25.0
52,3.0
53,37.0
54,17.0
55,52.0
56,16.0
57,6.0
58,6.0
59,2.0
60,1.0
61,19.0
62,9.0
63,0
64,16.0
65,16.0
66,5.0
67,0
68,7.0
69,9.0
70,11.0
71,15.0
72,1.0
73,12.0
74,8.0
75,0
76,4.0
77,20.0
78,1.0
79,20.0
80,16.0
81,12.0
82,7.0
83,9.0
84,5.0
85,2.0
86,12.0
87,0
88,1.0
89,12.0
90,3.0
91,2.0
92,1.0
93,4.0
94,27.0
95,12.0
96,13.0
97,22.0
98,2.0
99,2.0
100,5.0
101,11.0
102,9.0
103,30.0
104,0
105,5.0
106,21.0
107,2.0
108,25.0
109,11.0
110,6.0
111,1.0
112,36.0
113,10.0
114,4.0
115,3.0
116,17.0
117,15.0
118,19.0
119,1.0
120,12.0
121,11.0
122,12.0
123,25.0
124,29.0
125,37.0
126,5.0
127,9.0
128,10.0
129,16.0
130,3.0
131,24.0
132,14.0
133,8.0
134,16.0
135,14.0
136,7.0
137,18.0
138,7.0
139,48.0
140,26.0
141,8.0
142,2.0
143,7.0
144,20.0
145,10.0
146,17.0
147,10.0
148,2.0
149,4.0
150,4.0
151,36.0
152,13.0
153,4.0
154,10.0
155,18.0
156,24.0
157,41.0
158,8.0
159,42.0
160,52.0
161,24.0
162,32.0
163,27.0
164,11.0
165,56.0
166,26.0
167,29.0
168,1.0
169,23.0
170,15.0
171,5.0
172,2.0
173,11.0
174,44.0
175,20.0
176,9.0
177,9.0
178,6.0
179,7.0
180,0
181,2.0
182,13.0
183,3.0
184,2.0
185,19.0
186,14.0
187,27.0
188,18.0
189,40.0
190,9.0
191,1.0
192,12.0
193,20.0
194,6.0
195,1.0
196,2.0
197,3.0
198,8.0
199,6.0
