413,1.0,train
414,0,train
415,1.0,train
416,0,train
417,1.0,train
418,2.0,train
419,2.0,train
420,5.0,train
421,3.0,train
422,1.0,train
423,0,train
424,3.0,train
425,3.0,train
426,1.0,train
427,2.0,train
428,2.0,train
429,0,train
430,0,train
431,0,train
432,1.0,train
433,0,train
434,1.0,train
435,3.0,train
436,1.0,train
437,1.0,train
438,0,train
439,0,train
440,0,train
441,1.0,train
442,1.0,train
443,2.0,train
444,1.0,train
445,0,train
446,0,train
447,1.0,train
448,0,train
449,0,train
450,0,train
451,1.0,train
452,0,train
453,0,train
454,0,train
455,0,train
456,1.0,train
457,1.0,train
458,1.0,train
459,1.0,train
460,3.0,train
461,3.0,train
462,2.0,train
463,0,train
464,3.0,train
465,2.0,train
466,2.0,train
467,1.0,train
468,0,train
469,1.0,train
470,0,train
471,3.0,train
472,2.0,train
473,0,train
474,0,train
475,1.0,train
476,1.0,train
477,1.0,train
478,0,train
479,3.0,train
480,1.0,train
481,0,train
482,0,train
483,1.0,train
484,1.0,train
485,1.0,train
486,2.0,train
487,1.0,train
488,1.0,train
489,0,train
490,1.0,train
491,1.0,train
492,0,train
493,1.0,train
494,1.0,train
495,1.0,train
496,1.0,train
497,1.0,train
498,3.0,train
499,2.0,train
500,2.0,train
501,1.0,train
502,0,train
503,5.0,train
504,1.0,train
505,2.0,train
506,1.0,train
507,1.0,train
508,1.0,train
509,1.0,train
510,1.0,train
511,0,train
512,2.0,train
513,1.0,train
514,0,train
515,3.0,train
516,2.0,train
517,2.0,train
518,0,train
519,2.0,train
520,1.0,train
521,1.0,train
522,1.0,train
523,2.0,train
524,3.0,train
525,1.0,train
526,1.0,train
527,4.0,train
528,0,train
529,0,train
530,1.0,train
531,0,train
532,2.0,train
533,0,train
534,1.0,train
535,1.0,train
536,1.0,train
537,5.0,train
538,1.0,train
539,0,train
540,0,train
541,1.0,train
542,1.0,train
543,1.0,train
544,2.0,train
545,2.0,train
546,3.0,train
547,1.0,train
548,1.0,train
549,1.0,train
550,1.0,train
551,4.0,train
552,1.0,train
553,1.0,train
554,2.0,train
555,0,train
556,0,train
557,1.0,train
558,1.0,train
559,1.0,train
560,1.0,train
561,1.0,train
562,1.0,train
563,1.0,train
564,2.0,train
565,2.0,train
566,3.0,train
567,3.0,train
568,2.0,train
569,0,train
570,1.0,train
571,2.0,train
572,3.0,train
573,0,train
574,1.0,train
575,0,train
576,1.0,train
577,2.0,train
578,1.0,train
579,4.0,train
580,1.0,train
581,1.0,train
582,1.0,train
583,1.0,train
584,1.0,train
585,3.0,train
586,2.0,train
587,1.0,train
588,0,train
589,0,train
590,1.0,train
591,0,train
592,0,train
593,0,train
594,2.0,train
595,0,train
596,3.0,train
597,1.0,train
598,0,train
599,2.0,train
600,2.0,train
601,1.0,train
602,1.0,train
603,3.0,train
604,1.0,train
605,3.0,train
606,1.0,train
607,1.0,train
608,3.0,train
609,1.0,train
610,1.0,train
611,3.0,train
612,1.0,train
613,3.0,train
614,2.0,train
615,1.0,train
616,0,train
617,2.0,train
618,3.0,train
619,2.0,train
620,3.0,train
621,2.0,train
622,2.0,train
623,1.0,train
624,1.0,train
625,0,train
626,1.0,train
627,0,train
628,2.0,train
629,1.0,train
630,2.0,train
631,1.0,train
632,1.0,train
633,5.0,train
634,1.0,train
635,2.0,train
636,1.0,train
637,0,train
638,0,train
639,3.0,train
640,1.0,train
641,3.0,train
642,2.0,train
643,0,train
644,3.0,train
645,2.0,train
646,1.0,train
647,2.0,train
648,2.0,train
649,3.0,train
650,0,train
651,2.0,train
652,3.0,train
653,2.0,train
654,0,train
655,2.0,train
656,1.0,train
657,2.0,train
658,0,train
659,1.0,train
660,1.0,train
661,2.0,train
662,1.0,train
663,1.0,train
664,1.0,train
665,2.0,train
666,1.0,train
667,0,train
668,3.0,train
669,0,train
670,2.0,train
671,0,train
672,2.0,train
673,1.0,train
674,1.0,train
675,1.0,train
676,0,train
677,1.0,train
678,1.0,train
679,1.0,train
680,1.0,train
681,2.0,train
682,1.0,train
683,0,train
684,3.0,train
685,0,train
686,2.0,train
687,1.0,train
688,0,train
689,2.0,train
690,0,train
691,2.0,train
692,0,train
693,3.0,train
694,1.0,train
695,0,train
696,2.0,train
697,1.0,train
698,1.0,train
699,2.0,train
700,3.0,train
701,1.0,train
702,1.0,train
703,1.0,train
704,2.0,train
705,3.0,train
706,0,train
707,1.0,train
708,1.0,train
709,1.0,train
710,3.0,train
711,2.0,train
712,2.0,train
713,0,train
714,2.0,train
715,3.0,train
716,1.0,train
717,2.0,train
718,3.0,train
719,3.0,train
720,3.0,train
721,1.0,train
722,1.0,train
723,4.0,train
724,0,train
725,1.0,train
726,2.0,train
727,2.0,train
728,1.0,train
729,1.0,train
730,2.0,train
731,1.0,train
732,4.0,train
733,5.0,train
734,0,train
735,2.0,train
736,0,train
737,1.0,train
738,1.0,train
739,0,train
740,0,train
741,1.0,train
742,3.0,train
743,2.0,train
744,1.0,train
745,2.0,train
746,1.0,train
747,2.0,train
748,1.0,train
749,0,train
750,0,train
751,1.0,train
752,1.0,train
753,1.0,train
754,0,train
755,0,train
756,1.0,train
757,2.0,train
758,4.0,train
759,0,train
760,0,train
761,1.0,train
762,1.0,train
763,1.0,train
764,1.0,train
765,3.0,train
766,1.0,train
767,2.0,train
768,3.0,train
769,2.0,train
770,2.0,train
771,1.0,train
772,2.0,train
773,1.0,train
774,3.0,train
775,2.0,train
776,1.0,train
777,2.0,train
778,5.0,train
779,1.0,train
780,2.0,train
781,1.0,train
782,3.0,train
783,1.0,train
784,2.0,train
785,0,train
786,1.0,train
787,1.0,train
788,1.0,train
789,1.0,train
790,2.0,train
791,3.0,train
792,3.0,train
793,2.0,train
794,1.0,train
795,0,train
796,1.0,train
797,2.0,train
798,2.0,train
799,3.0,train
800,5.0,train
801,1.0,train
802,0,train
803,1.0,train
804,2.0,train
805,2.0,train
806,3.0,train
807,2.0,train
808,0,train
809,1.0,train
810,1.0,train
811,3.0,train
812,1.0,train
813,3.0,train
814,0,train
815,1.0,train
816,2.0,train
817,1.0,train
818,1.0,train
819,1.0,train
820,1.0,train
821,1.0,train
822,2.0,train
823,1.0,train
824,1.0,train
825,4.0,train
826,1.0,train
827,0,train
828,0,train
829,5.0,train
830,3.0,train
831,2.0,train
832,0,train
833,2.0,train
834,2.0,train
835,3.0,train
836,0,train
837,3.0,train
838,1.0,train
839,0,train
840,1.0,train
841,0,train
842,2.0,train
843,3.0,train
844,7.0,train
845,1.0,train
846,3.0,train
847,1.0,train
848,2.0,train
849,2.0,train
850,1.0,train
851,5.0,train
852,4.0,train
853,1.0,train
854,0,train
855,3.0,train
856,1.0,train
857,2.0,train
858,2.0,train
859,1.0,train
860,1.0,train
861,0,train
862,1.0,train
863,1.0,train
864,2.0,train
865,3.0,train
866,2.0,train
867,2.0,train
868,0,train
869,2.0,train
870,3.0,train
871,2.0,train
872,2.0,train
873,0,train
874,0,train
875,1.0,train
876,1.0,train
877,1.0,train
878,8.0,train
879,1.0,train
880,1.0,train
881,3.0,train
882,3.0,train
883,3.0,train
884,1.0,train
885,4.0,train
886,2.0,train
887,1.0,train
888,1.0,train
889,2.0,train
890,1.0,train
891,1.0,train
892,1.0,train
893,4.0,train
894,2.0,train
895,1.0,train
896,3.0,train
897,1.0,train
898,5.0,train
899,2.0,train
900,2.0,train
901,1.0,train
902,5.0,train
903,0,train
904,1.0,train
905,3.0,train
906,1.0,train
907,3.0,train
908,0,train
909,0,train
